policy_id,category,priority,response_sla_hrs,resolution_sla_hrs,escalation_hrs
1,Hardware,Critical,1,4,2
2,Hardware,High,2,8,4
3,Hardware,Medium,4,24,12
4,Hardware,Low,8,72,48
5,Software,Critical,1,6,3
6,Software,High,2,12,6
7,Software,Medium,4,24,12
8,Software,Low,8,72,48
9,Network,Critical,1,2,1
10,Network,High,2,6,3
11,Network,Medium,4,12,8
12,Network,Low,8,48,24
13,Access,Critical,1,4,2
14,Access,High,2,8,4
15,Access,Medium,4,24,12
16,Access,Low,8,72,48
17,Other,Critical,2,8,4
18,Other,High,4,16,8
19,Other,Medium,8,48,24
20,Other,Low,12,96,72
